data,mm,uf
2015-10-04,0.0,CE
2015-10-04,0.0,CE
2015-10-04,0.0,CE
2015-10-04,0.0,CE
2015-10-04,0.0,CE
2015-10-04,0.0,CE
2015-10-04,0.0,CE
2015-10-04,0.0,CE
2015-10-04,0.0,CE
2015-10-04,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-05,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-06,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-07,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-08,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-09,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-10,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-11,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-12,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-13,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-14,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-15,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-16,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-17,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-18,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
2015-10-19,0.0,CE
