id|data_iniSE|casos|ibge_code|cidade|uf|cep|latitude|longitude
805|2015-05-10|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
806|2015-05-17|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
807|2015-05-24|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
808|2015-05-31|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
809|2015-06-07|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
810|2015-06-14|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
811|2015-06-21|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
812|2015-06-28|1.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
813|2015-07-05|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
814|2015-07-12|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
815|2015-07-19|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
816|2015-07-26|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
817|2015-08-02|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
818|2015-08-09|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
819|2015-08-16|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
820|2015-08-23|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
821|2015-08-30|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
822|2015-09-06|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
823|2015-09-13|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
824|2015-09-20|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
825|2015-09-27|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
826|2015-10-04|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
827|2015-10-11|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
828|2015-10-18|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
829|2015-10-25|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
830|2015-11-01|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
831|2015-11-08|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
832|2015-11-15|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
833|2015-11-22|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
834|2015-11-29|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
835|2015-12-06|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
836|2015-12-13|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
837|2015-12-20|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
838|2015-12-27|0.0|230030|Acopiara|CE|63560-000|-6.1131|-39.5176
1049|2015-01-04|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1050|2015-01-11|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1051|2015-01-18|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1052|2015-01-25|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1053|2015-02-01|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1054|2015-02-08|1.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1055|2015-02-15|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1056|2015-02-22|1.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1057|2015-03-01|2.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1058|2015-03-08|4.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1059|2015-03-15|3.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1060|2015-03-22|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1061|2015-03-29|3.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1062|2015-04-05|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1063|2015-04-12|1.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1064|2015-04-19|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1065|2015-04-26|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1066|2015-05-03|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1067|2015-05-10|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1068|2015-05-17|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1069|2015-05-24|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1070|2015-05-31|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1071|2015-06-07|1.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1072|2015-06-14|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1073|2015-06-21|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1074|2015-06-28|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1075|2015-07-05|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1076|2015-07-12|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1077|2015-07-19|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1078|2015-07-26|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1079|2015-08-02|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1080|2015-08-09|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1081|2015-08-16|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1082|2015-08-23|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1083|2015-08-30|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1084|2015-09-06|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1085|2015-09-13|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1086|2015-09-20|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1087|2015-09-27|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1088|2015-10-04|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1089|2015-10-11|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1090|2015-10-18|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1091|2015-10-25|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1092|2015-11-01|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1093|2015-11-08|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1094|2015-11-15|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1095|2015-11-22|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1096|2015-11-29|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1097|2015-12-06|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1098|2015-12-13|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1099|2015-12-20|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1100|2015-12-27|0.0|230040|Aiuaba|CE|63575-000|-6.589|-40.2395
1311|2015-01-04|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1312|2015-01-11|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
1313|2015-01-18|0.0|230050|Alcântaras|CE|62120-000|-3.5873|-40.5552
